id,nombre,horasTrabajadas,sueldo
1,Lou,10000,120
2,Ulrike,25000,180
3,Brade,20000,325
4,Kimbell,50000,120
5,Sheelagh,18000,220
6,Gayle,30000,120
7,Kimberlee,33000,60
8,Henrieta,30000,90
9,Jeanine,18000,325
10,Aggie,15000,75
11,Brandea,15000,180
12,Cordelie,50000,325
13,Shel,50000,120
14,Bronnie,20000,60
15,Megen,10000,180
16,Iver,12000,90
17,Ernesta,37000,60
18,Cirillo,50000,88
19,Park,30000,120
20,Bellanca,15000,88
21,Bobbye,15000,180
22,Eugene,50000,88
23,Johnny,33000,325
24,Reagen,42000,90
25,Braden,25000,180
26,Karim,25000,75
27,Anthea,42000,90
28,Doro,33000,120
29,Gaye,37000,120
30,Toby,15000,180
31,Franny,15000,325
32,Katey,42000,180
33,Earle,10000,90
34,Redd,42000,88
35,Jehanna,50000,220
36,Cristie,10000,180
37,Stefa,42000,88
38,Roda,25000,90
39,Alfredo,10000,88
40,Sydney,10000,75
41,Brnaba,30000,180
42,Ame,50000,88
43,Bradney,25000,88
44,Margarete,50000,120
45,Nikoletta,50000,120
46,Lonnard,50000,75
47,Raine,30000,180
48,Noella,15000,120
49,Dagmar,25000,88
50,Carroll,42000,220
51,Marion,50000,88
52,Carline,12000,220
53,Hyacinthie,15000,75
54,Julina,33000,120
55,Corina,37000,220
56,Bernardine,33000,75
57,Homer,18000,180
58,Lianna,12000,220
59,Celene,50000,120
60,Kori,50000,90
61,Deeyn,20000,88
62,Marysa,20000,75
63,Loy,15000,120
64,Gabbey,37000,120
65,Star,33000,90
66,Dominica,33000,120
67,Blanch,15000,75
68,Cristobal,15000,120
69,Paulita,50000,120
70,Sayre,33000,180
71,Shaughn,15000,90
72,Katrine,25000,90
73,Cristi,42000,88
74,Cristie,25000,90
75,Solomon,10000,90
76,Nananne,33000,120
77,Sacha,25000,90
78,Morse,25000,180
79,Roland,25000,180
80,Jesselyn,30000,180
81,Kylila,12000,325
82,Kendre,25000,180
83,Lesya,15000,90
84,Tatiania,20000,120
85,Trenton,12000,88
86,Angie,20000,90
87,Joelle,37000,90
88,George,30000,60
89,Guenevere,30000,90
90,Margaretha,10000,75
91,Sully,15000,60
92,Lonni,50000,220
